,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5517547,3742692,HL109783,10/01/2004 12:01:00 AM,034XX W LAKE ST,0810,THEFT,OVER $500,WAREHOUSE,False,False,1123,11.0,28.0,27.0,06,1153481.0,1901180.0,2004,04/15/2016 08:55:02 AM,41.884679652,-87.711854107,"(41.884679652, -87.711854107)"
5517551,3742697,HL111751,12/21/2004 12:00:00 PM,034XX W CHICAGO AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,COMMERCIAL / BUSINESS OFFICE,False,False,1121,11.0,27.0,23.0,06,1153112.0,1905117.0,2004,04/15/2016 08:55:02 AM,41.895490498,-87.713104635,"(41.895490498, -87.713104635)"
5517554,3742700,HK825992,12/24/2004 08:30:00 AM,025XX W JACKSON BLVD,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,1125,11.0,2.0,28.0,26,1159609.0,1898614.0,2004,04/15/2016 08:55:02 AM,41.877514327,-87.689421855,"(41.877514327, -87.689421855)"
5517555,3742701,HL113367,01/06/2004 09:00:00 AM,0000X S HAMLIN BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1122,11.0,28.0,26.0,07,1151072.0,1899650.0,2004,04/15/2016 08:55:02 AM,41.8805287,-87.720740465,"(41.8805287, -87.720740465)"
5517559,3742706,HK836195,12/27/2004 11:00:00 PM,010XX N AVERS AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,1112,11.0,27.0,23.0,05,1150528.0,1906685.0,2004,04/15/2016 08:55:02 AM,41.899844115,-87.722554122,"(41.899844115, -87.722554122)"
5517565,3742713,HK833687,12/29/2004 10:35:00 AM,011XX S INDEPENDENCE BLVD,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,1133,11.0,24.0,29.0,26,1151433.0,1894686.0,2004,04/15/2016 08:55:02 AM,41.866899854,-87.71954524,"(41.866899854, -87.71954524)"
5517566,3742715,HK838669,12/31/2004 09:40:00 PM,002XX N KILDARE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,1114,11.0,28.0,26.0,15,1147694.0,1900747.0,2004,04/15/2016 08:55:02 AM,41.883604489,-87.7331161,"(41.883604489, -87.7331161)"
5517567,3742717,HK837513,12/31/2004 09:20:00 AM,011XX N CICERO AVE,0810,THEFT,OVER $500,WAREHOUSE,False,False,1111,11.0,37.0,25.0,06,1144150.0,1907363.0,2004,04/15/2016 08:55:02 AM,41.901826837,-87.745963792,"(41.901826837, -87.745963792)"
5517577,3742729,HL113374,12/24/2004 08:00:00 AM,023XX N CLEVELAND AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,1812,18.0,43.0,7.0,05,1172537.0,1915822.0,2004,04/15/2016 08:55:02 AM,41.924458074,-87.641444387,"(41.924458074, -87.641444387)"
5517585,3742737,HL113209,10/17/2004 09:00:00 AM,023XX N WESTERN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1432,14.0,32.0,22.0,06,1159970.0,1915684.0,2004,04/15/2016 08:55:02 AM,41.924348356,-87.687624607,"(41.924348356, -87.687624607)"
